"rt","response","trial_index","time_elapsed","whichPrime","trialType","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"46283","{""Q0"":""women who work in STEM. men working in arts. ""}","3","52552","atypical","prime","","","","","","",""
"2276","f","6","71926","","iat","Lady","women","women","women","men","true",""
"2114","j","8","74296","","iat","Husband","men","men","women","men","true",""
"1630","j","10","76181","","iat","Husband","men","men","women","men","true",""
"1099","j","12","77535","","iat","Gentleman","men","men","women","men","true",""
"992","j","14","78782","","iat","Grandpa","men","men","women","men","true",""
"2080","f","16","81116","","iat","Female","women","women","women","men","true",""
"893","j","18","82263","","iat","Uncle","men","men","women","men","true",""
"875","j","20","83393","","iat","Gentleman","men","men","women","men","true",""
"1046","f","22","84694","","iat","Woman","women","women","women","men","true",""
"1842","f","24","86790","","iat","Wife","women","women","women","men","true",""
"803","j","26","87849","","iat","Son","men","men","women","men","true",""
"839","j","28","88942","","iat","Father","men","men","women","men","true",""
"1671","f","30","90868","","iat","Wife","women","women","women","men","true",""
"1172","f","32","92294","","iat","Lady","women","women","women","men","true",""
"1380","j","34","93928","","iat","Boy","men","men","women","men","true",""
"1298","f","36","95482","","iat","Grandma","women","women","women","men","true",""
"866","f","38","96602","","iat","Grandma","women","women","women","men","true",""
"1348","f","40","98205","","iat","Girl","women","women","women","men","true",""
"738","f","42","99198","","iat","Sister","women","women","women","men","true",""
"827","j","44","100281","","iat","Man","men","men","women","men","true",""
"1134","f","46","101669","","iat","Sister","women","women","women","men","true",""
"1636","f","48","103560","","iat","Woman","women","women","women","men","true",""
"681","f","50","104495","","iat","Female","women","women","women","men","true",""
"740","j","52","105490","","iat","Male","men","men","women","men","true",""
"398","j","54","106143","","iat","Son","men","men","women","men","true",""
"407","j","56","106804","","iat","Man","men","men","women","men","true",""
"502","j","58","107561","","iat","Male","men","men","women","men","true",""
"1240","f","60","109055","","iat","Girl","women","women","women","men","true",""
"937","j","62","110247","","iat","Boy","men","men","women","men","true",""
"883","f","64","111385","","iat","Mother","women","women","women","men","true",""
"1124","f","66","112763","","iat","Aunt","women","women","women","men","true",""
"692","f","68","113710","","iat","Daughter","women","women","women","men","true",""
"712","f","70","114676","","iat","Aunt","women","women","women","men","true",""
"1038","j","72","115968","","iat","Grandpa","men","men","women","men","true",""
"978","j","74","117200","","iat","Brother","men","men","women","men","true",""
"1009","j","76","118463","","iat","Father","men","men","women","men","true",""
"4108","f","79","154797","","iat","Humanities","liberal arts","liberal arts","liberal arts","science","true",""
"817","j","81","155869","","iat","Physics","science","science","liberal arts","science","true",""
"1171","f","83","157294","","iat","Literature","liberal arts","liberal arts","liberal arts","science","true",""
"599","f","85","158148","","iat","Humanities","liberal arts","liberal arts","liberal arts","science","true",""
"562","j","87","158965","","iat","Physics","science","science","liberal arts","science","true",""
"673","j","89","159892","","iat","Math","science","science","liberal arts","science","true",""
"514","j","91","160662","","iat","Engineering","science","science","liberal arts","science","true",""
"1756","j","93","162671","","iat","Biology","science","science","liberal arts","science","true",""
"697","f","95","163623","","iat","Arts","liberal arts","liberal arts","liberal arts","science","true",""
"683","j","97","164561","","iat","Geology","science","science","liberal arts","science","true",""
"826","j","99","165642","","iat","Robotics","science","science","liberal arts","science","true",""
"1891","j","101","167787","","iat","Statistics","science","science","liberal arts","science","true",""
"609","f","103","168650","","iat","Dance","liberal arts","liberal arts","liberal arts","science","true",""
"699","j","105","169602","","iat","Math","science","science","liberal arts","science","true",""
"622","f","107","170478","","iat","English","liberal arts","liberal arts","liberal arts","science","true",""
"941","f","109","171673","","iat","Sociology","liberal arts","liberal arts","liberal arts","science","true",""
"1839","f","111","173767","","iat","Ecology","science","science","liberal arts","science","false",""
"743","j","113","174765","","iat","Chemistry","science","science","liberal arts","science","true",""
"862","f","115","175882","","iat","Anthropology","liberal arts","liberal arts","liberal arts","science","true",""
"701","j","117","176836","","iat","Statistics","science","science","liberal arts","science","true",""
"1904","f","119","178994","","iat","Literature","liberal arts","liberal arts","liberal arts","science","true",""
"885","f","121","180133","","iat","Philosophy","liberal arts","liberal arts","liberal arts","science","true",""
"641","f","123","181028","","iat","English","liberal arts","liberal arts","liberal arts","science","true",""
"807","f","125","182090","","iat","Sociology","liberal arts","liberal arts","liberal arts","science","true",""
"662","j","127","183006","","iat","Robotics","science","science","liberal arts","science","true",""
"609","f","129","183868","","iat","History","liberal arts","liberal arts","liberal arts","science","true",""
"1395","f","131","185517","","iat","Music","liberal arts","liberal arts","liberal arts","science","true",""
"880","j","133","186652","","iat","Engineering","science","science","liberal arts","science","true",""
"742","f","135","187648","","iat","Dance","liberal arts","liberal arts","liberal arts","science","true",""
"814","f","137","188717","","iat","Arts","liberal arts","liberal arts","liberal arts","science","true",""
"2258","j","139","191229","","iat","Biology","science","science","liberal arts","science","true",""
"839","f","141","192323","","iat","History","liberal arts","liberal arts","liberal arts","science","true",""
"2107","j","143","194684","","iat","Chemistry","science","science","liberal arts","science","true",""
"877","j","145","195815","","iat","Astronomy","science","science","liberal arts","science","true",""
"982","f","147","197052","","iat","Anthropology","liberal arts","liberal arts","liberal arts","science","true",""
"2300","j","149","199607","","iat","Ecology","science","science","liberal arts","science","true",""
"4965","j","152","212674","","iat","Uncle","men","liberal arts or men","science or women","liberal arts or men","true",""
"671","j","154","213599","","iat","Husband","men","liberal arts or men","science or women","liberal arts or men","true",""
"2346","f","156","216199","","iat","Daughter","women","science or women","science or women","liberal arts or men","true",""
"3280","f","158","219732","","iat","Astronomy","science","science or women","science or women","liberal arts or men","true",""
"1489","j","160","221475","","iat","Sociology","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"834","j","162","222565","","iat","English","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"1180","f","164","223999","","iat","Grandma","women","science or women","science or women","liberal arts or men","true",""
"1071","j","166","225325","","iat","Boy","men","liberal arts or men","science or women","liberal arts or men","true",""
"622","j","168","226201","","iat","Gentleman","men","liberal arts or men","science or women","liberal arts or men","true",""
"1643","f","170","228099","","iat","Lady","women","science or women","science or women","liberal arts or men","true",""
"3157","f","172","231510","","iat","Physics","science","science or women","science or women","liberal arts or men","true",""
"962","j","174","232727","","iat","Philosophy","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"760","j","176","233741","","iat","Dance","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"1077","f","178","235071","","iat","Biology","science","science or women","science or women","liberal arts or men","true",""
"731","f","180","236057","","iat","Aunt","women","science or women","science or women","liberal arts or men","true",""
"511","f","182","236822","","iat","Girl","women","science or women","science or women","liberal arts or men","true",""
"543","j","184","237620","","iat","Son","men","liberal arts or men","science or women","liberal arts or men","true",""
"932","f","186","238806","","iat","Ecology","science","science or women","science or women","liberal arts or men","true",""
"902","j","188","239962","","iat","Female","women","science or women","science or women","liberal arts or men","false",""
"4597","f","190","244813","","iat","Robotics","science","science or women","science or women","liberal arts or men","true",""
"1437","j","192","246505","","iat","Grandpa","men","liberal arts or men","science or women","liberal arts or men","true",""
"1925","f","194","248685","","iat","Math","science","science or women","science or women","liberal arts or men","true",""
"3329","j","196","252268","","iat","Music","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"660","j","198","253182","","iat","Male","men","liberal arts or men","science or women","liberal arts or men","true",""
"692","f","200","254128","","iat","Wife","women","science or women","science or women","liberal arts or men","true",""
"1319","j","202","255703","","iat","History","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"966","j","204","256923","","iat","Arts","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"976","f","206","258153","","iat","Literature","liberal arts","liberal arts or men","science or women","liberal arts or men","false",""
"2467","f","208","260874","","iat","Geology","science","science or women","science or women","liberal arts or men","true",""
"832","j","210","261960","","iat","Anthropology","liberal arts","liberal arts or men","science or women","liberal arts or men","true",""
"1974","j","212","264189","","iat","Engineering","science","science or women","science or women","liberal arts or men","false",""
"3296","f","214","267740","","iat","Sister","women","science or women","science or women","liberal arts or men","true",""
"627","j","216","268622","","iat","Father","men","liberal arts or men","science or women","liberal arts or men","true",""
"823","f","218","269700","","iat","Chemistry","science","science or women","science or women","liberal arts or men","true",""
"947","j","220","270901","","iat","Brother","men","liberal arts or men","science or women","liberal arts or men","true",""
"1063","j","222","272219","","iat","Statistics","science","science or women","science or women","liberal arts or men","false",""
"6024","f","225","288189","","iat","Math","science","science or men","science or men","liberal arts or women","true",""
"1113","j","227","289556","","iat","Dance","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"1663","j","229","291473","","iat","Philosophy","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"850","f","231","292578","","iat","Grandpa","men","science or men","science or men","liberal arts or women","true",""
"4000","f","233","296831","","iat","Ecology","science","science or men","science or men","liberal arts or women","true",""
"1815","f","235","298899","","iat","Geology","science","science or men","science or men","liberal arts or women","true",""
"598","f","237","299752","","iat","Chemistry","science","science or men","science or men","liberal arts or women","true",""
"581","f","239","300588","","iat","Son","men","science or men","science or men","liberal arts or women","true",""
"621","f","241","301463","","iat","Physics","science","science or men","science or men","liberal arts or women","true",""
"665","j","243","302383","","iat","Arts","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"601","j","245","303238","","iat","Wife","women","liberal arts or women","science or men","liberal arts or women","true",""
"687","j","247","304178","","iat","History","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"614","j","249","305047","","iat","Sociology","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"480","j","251","305781","","iat","Astronomy","science","science or men","science or men","liberal arts or women","false",""
"1013","f","253","307049","","iat","Statistics","science","science or men","science or men","liberal arts or women","true",""
"753","f","255","308056","","iat","Man","men","science or men","science or men","liberal arts or women","true",""
"1217","f","257","309528","","iat","Biology","science","science or men","science or men","liberal arts or women","true",""
"716","f","259","310498","","iat","Male","men","science or men","science or men","liberal arts or women","true",""
"646","f","261","311399","","iat","Engineering","science","science or men","science or men","liberal arts or women","true",""
"588","f","263","312242","","iat","Husband","men","science or men","science or men","liberal arts or women","true",""
"604","f","265","313101","","iat","Literature","liberal arts","liberal arts or women","science or men","liberal arts or women","false",""
"2540","j","267","315896","","iat","Woman","women","liberal arts or women","science or men","liberal arts or women","true",""
"1315","f","269","317466","","iat","Brother","men","science or men","science or men","liberal arts or women","true",""
"698","j","271","318418","","iat","Daughter","women","liberal arts or women","science or men","liberal arts or women","true",""
"610","j","273","319281","","iat","Female","women","liberal arts or women","science or men","liberal arts or women","true",""
"746","j","275","320280","","iat","Grandma","women","liberal arts or women","science or men","liberal arts or women","true",""
"624","j","277","321158","","iat","Mother","women","liberal arts or women","science or men","liberal arts or women","true",""
"686","f","279","322096","","iat","Father","men","science or men","science or men","liberal arts or women","true",""
"746","f","281","323096","","iat","Boy","men","science or men","science or men","liberal arts or women","true",""
"879","j","283","324228","","iat","Humanities","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"1131","j","285","325612","","iat","Aunt","women","liberal arts or women","science or men","liberal arts or women","true",""
"435","j","287","326300","","iat","Lady","women","liberal arts or women","science or men","liberal arts or women","true",""
"445","j","289","326998","","iat","Sister","women","liberal arts or women","science or men","liberal arts or women","true",""
"653","f","291","327906","","iat","Gentleman","men","science or men","science or men","liberal arts or women","true",""
"1181","j","293","329341","","iat","Music","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"926","j","295","330521","","iat","Anthropology","liberal arts","liberal arts or women","science or men","liberal arts or women","true",""
"98541","{""Q0"":2,""Q1"":6,""Q2"":4,""Q3"":5,""Q4"":0,""Q5"":4,""Q6"":1,""Q7"":5,""Q8"":0,""Q9"":6}","297","429320","","questionnaire","","","","","","","[0,1,2,3,4,5,6,7,8,9]"
